ID,start_date,mean,sd,cv,complete_date
Z5126001,20000101,0.2,0.12,*,20000101
ZDA00171,20000101,0.2,0.119,*,20000101
ZDA00174,20000101,0.2,0.119,*,20000101
Z5126002,20000101,3,0.203,6.8,20000101
ZDA00172,20000101,2.99,0.248,8.3,20000101
ZDA00175,20000101,3.05,0.199,6.5,20000101
Z5126003,20000101,8.4,0.335,4,20000101
ZDA00173,20000101,8.15,0.508,6.2,20000101
ZDA00176,20000101,8.36,0.369,4.4,20000101
Z5129001,20000101,0,0.05,*,20000101
ZDA00181,20000101,0,0.05,*,20000101
ZDA00183,20000101,0,0.05,*,20000101
Z5129002,20000101,4.27,0.2,4.7,20000101
ZDA00182,20000101,4.2,0.22,4.9,20000101
ZDA00184,20000101,4.41,0.37,8.4,20000101
Z5129031,20000101,1.3,0.027,2.14,20000101
ZDA01181,20000101,1.278,0.033,2.54,20000101
Z5129032,20000101,0.31,0.07,5.48,20000101
ZDA01182,20000101,0.311,0.018,5.72,20000101
Z5117001,20000101,0.035,0.05,*,20000101
ZDA00101,20000101,0,0.05,*,20000101
Z5117002,20000101,5.14,0.305,5.93,20000101
ZDA00102,20000101,4.875,0.333,6.83,20000101
Z5123001,20000101,1.5,0.05,3.3,20000101
Z5123002,20000101,0.6,0.1,*,20000101
Z5122001,20000101,0,0.08,*,20000101
Z5122002,20000101,8.7,0.395,4.7,20000101
Z5129021,20000101,0.28,0.08,*,20000101
Z5129022,20000101,2.26,0.119,5.27,20000101
Z5124001,20000101,0,0.08,*,20000101
Z5124002,20000101,2.6,0.23,8.8,20000101
Z5125001,20000101,2.225,0.067,3,20000101
Z5125002,20000101,0.5,0.046,9.2,20000101
ZCC0007L,20000101,38.9,2.74,7,20000101
ZCC0007H,20000101,250.15,7.6,7,20000101
Z5110001,20000101,0.01,0,*,20000101
Z5110002,20000101,0.245,0.015,6.1,20000101
Z5110003,20000101,181.3,7.925,4.8,20000101
Z5120001,20000101,0.3,0.213,*,20000101
Z5120002,20000101,3.67,0.24,6.5,20000101
Z5121001,20000101,2,0.05,*,20000101
Z5121002,20000101,14.76,0.83,5.6,20000101
Z5121003,20000101,88.49,3.67,4.2,20000101
Z5115011,20000101,0.01,0.12,*,20000101
Z5115012,20000101,2.02,0.23,11.4,20000101
Z5227001,20000101,420.7,23.6,5.6,20000101
Z5227002,20000101,100.7,5.4,5.3,20000101
Z5227003,20000101,20.4,1.6,8.1,20000101
Z5200011,20000101,2.4,0.2,8.3,20000101
Z5200012,20000101,23.6,1.8,7.5,20000101
Z5200013,20000101,0,0.1,*,20000101
Z5200014,20000101,0,0.1,*,20000101
Z5200015,20000101,2.4,0.2,8.3,20000101
Z5200016,20000101,23.6,1.8,7.5,20000101
Z5200017,20000101,0,0.1,*,20000101
Z5200018,20000101,0,0.1,*,20000101
Z5148001,20000101,33,1.6,4.8,20000101
Z5148002,20000101,0.1,1,*,20000101
Z5186031,20000101,74.8,1.3,1.7,20000101
Z5186032,20000101,0.4,1,*,20000101
Z5186041,20000101,38,1.7,4.6,20000101
Z5186042,20000101,0.2,1,*,20000101
Z5185031,20000101,69.4,2.6,3.8,20000101
Z5185032,20000101,0.9,0.7,*,20000101
Z5185041,20000101,71.4,1.3,1.9,20000101
Z5185042,20000101,1,0.7,*,20000101
Z5187001,20000101,34,1.6,4.7,20000101
Z5187002,20000101,0.2,1,*,20000101
Z5195011,20000101,22.8,2.3,9.4,20000101
Z5195010,20000101,0,0.6,*,20000101
Z5195012,20000101,16.2,2,12.3,20000101
Z5195013,20000101,0.1,0.7,*,20000101
ZDC00671,20000101,6.34,0.06,0.9,20000101
ZDC00672,20000101,2.34,0.15,6.4,20000101
ZDC00673,20000101,0,0,*,20000101
ZDC00661,20000101,6.18,0.06,1,20000101
ZDC00662,20000101,2.29,0.11,4.9,20000101
ZDC00663,20000101,0,0,*,20000101
ZDC00651,20000101,5.4,0.23,4.3,20000101
ZDC00652,20000101,2.83,0.16,5.5,20000101
ZDC00653,20000101,0,0,*,20000101
Z5123002,20230623,0.6,0.1,*,20231112
Z5121001,20230717,2,0.05,*,20231112
Z5121002,20230717,14.65,0.83,5.67,20231112
Z5121003,20230717,87.77,4.37,4.98,20231112
ZDA00184,20230330,4.4,0.37,8.4,20231112
ZDA00183,20230330,0,0.05,*,20231112
ZDA00182,20230330,4.49,0.22,4.9,20231112
ZDA00181,20230330,0,0.05,*,20231112
Z5129002,20230330,4.26,0.2,4.7,20231112
Z5129001,20230330,0,0.05,*,20231112
Z5122001,20230803,0.05,0.08,*,20231112
Z5122002,20230803,12.96,0.395,4.7,20231112
Z5120001,20230302,0.26,0.213,*,20231112
Z5120002,20230302,3.92,0.24,6.5,20231112
Z5110001,20221229,0,0,*,20231112
Z5110002,20221229,0.24,0.02,8.33,20231112
Z5110003,20221229,175.98,8.22,4.8,20231112
ZDA00176,20230622,8.35,0.369,4.4,20231112
